Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
CANNET,Cancer Network Area of Residence,String(3),Y,2008-09 to 2020-21,,"The former cancer network area that the patient's postcode falls within, derived in HES from the patient's postcode (HOMEADD).

Cancer networks were abolished in 2013. This field continued to be derived after this date as a 'frozen' geography.","N01-N98 = Cancer network in England/Wales/Isle of Man 
Z99 = Scotland/Northern Ireland/Channel Islands (pseudo) 
Null = No information available",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CANREG,Cancer Registry Area of Residence,String(5),,2008-09 onwards,,"The cancer registry area that the patient's postcode falls within, derived in HES from the patient's postcode (HOMEADD).","Y0201-Y1701 = Cancer Registry in England/Wales
Z9999 = Scotland/Northern Ireland/Channel Islands/Isle of Man (pseudo)
Null = No information available",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CARERSI,Carer Support Indicator,String(2),,1997-98 onwards,,"An indication of whether carer support is available to the patient at their normal residence.

This does not include any paid support or support from a voluntary organisation, unless the patient is normally resident in a care home  and care is provided by a care worker.","01 = Yes - Carer support is available
02 = No - Carer support is not available
99 = Not known",RULE_0400,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CATEGORY,Administrative and Legal Status of Patient,String(2),Y,1989-90 to 2001-02,Yes,"Many NHS hospitals have private wards where private patients may use the accommodation and services of the hospital provider. Some hospitals also provide amenity beds, usually located in small side wards for which a charge is made for the accommodation. Both of these categories of patient are defined by the NHS Act of 1977. Any categories of patient, whether NHS, private or amenity patients, can be formally detained under the provisions of the Mental Health Act 1983 and other legislation. Most patients in NHS hospitals or hospital units will come under category 10.","10 = NHS patient: not formally detained  
11 = NHS patient: formally detained under Part II of the Mental Health Act 1983  
12 = NHS patient: formally detained under Part III of the Mental Health Act 1983 or under other Acts  
13 = NHS patient: formally detained under part X, Mental Health Act 1983*  
20 = Private patient: not formally detained  
21 = Private patient: formally detained under Part II of the Mental Health Act 1983  
22 = Private patient: formally detained under Part III of the Mental Health Act 1983 or under other Acts  
23 = Private patient: formally detained under part X, Mental health Act 1983*  
30 = Amenity patient: not formally detained  
31 = Amenity patient: formally detained under Part II of the Mental Health Act 1983  
32 = Amenity patient: formally detained under Part III of the Mental Health Act 1983 or under other Acts  
33 = Amenity patient: formally detained under part X, Mental health Act 1983*  
Null = Other maternity event.  
* Codes 13, 23 and 33 were introduced at the start of the 1994-95 HES year (1 April 1995)",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CAUSE,Cause Code,String(10),,1989-90 onwards,,External cause of injury or poisoning.  This item is a copy of the first diagnosis code that represents an external cause.,"6an = Code copied from a diagnosis field: this is a standard ICD-10 code in the range V01-Y98
Null = Unfinished episode, other maternity event, or no cause code found",,RULE_0580,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,
AHAS_FLAT.dbo.AHAS_HES_APC",,
CAUSE_3,Cause Code - 3 Characters,String(3),,1989-90 onwards,,"This item is a copy of the initial 3 characters of the first diagnosis code that represents an external cause, e.g. accidents or poisoning.","ann = Code copied from a diagnosis field: this is a standard ICD-10 code in the range V01-Y98
Null = Unfinished episode, other maternity event, or no cause code found",,RULE_8100,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,
AHAS_FLAT.dbo.AHAS_HES_APC",,
CAUSE_4,Cause Code - 4 Characters ,String(4),,1989-90 onwards,,"This item is a copy of the initial 4 characters of the first diagnosis code that represents an external cause, e.g. accidents or poisoning.","annn = Code copied from a diagnosis field: this is a standard ICD-10 code in the range V01-Y98
Null = Unfinished episode, other maternity event, or no cause code found",,RULE_8100,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,
AHAS_FLAT.dbo.AHAS_HES_APC",,
CCG_GP_PRACTICE,"Sub Integrated Care Board of GP Practice (July 2022 onwards)
Clinical Commissioning Group of GP Practice (until June 2022)
",String(5),,2010-11 onwards,,"The Sub Integrated Care Board (Sub ICB) / Clinical Commissioning Group (CCG) area where the patient’s GP practice is registered. It is derived from the GP practice code (GGPRAC).
Note: Sub ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 106 existing CCGs were retained and applied to the new Sub ICBs.","3an or 5an = Sub ICB / CCG area of patient’s GP practice
59999 = Unknown",RULE_1126,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CCG_RESIDENCE,"Sub Integrated Care Board of Residence  (July 2022 onwards)
Clinical Commissioning Group of Residence (until June 2022)
",String(3-5),,2010-11 onwards,,"Sub Integrated Care Board (Sub ICB) / The Clinical Commissioning Group (CCG) area where the patient lives, derived in HES from the patient's postcode (HOMEADD).
Note: Sub ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 106 existing CCGs were retained and applied to the new ICBs.","3an or 5an = Sub ICB / CCG of patient’s residence
59898 = Not applicable
59999 = Unknown",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CCG_RESPONSIBILITY,"Sub Integrated Care Board of Responsibility (July 2022 onwards)
Clinical Commissioning Group of Responsibility (until June 2022)",String(5),,2010-11 onwards,,"The code for the most suitable Sub Integrated Care Board (Sub ICB) / Clinical Commissioning Group (CCG) of responsibility. It is derived firstly from CCG_GP_PRACTICE , but if not available the CCG_RESIDENCE then CCG_TREATMENT is used.
Note: Sub ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 106 existing CCGs were retained and applied to the new Sub ICBs.","3an or 5an = Sub ICB / CCG of responsibility
59999 = Unknown",RULE_1205,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CCG_RESPONSIBILITY_ORIGIN,Origin of CCG_Responsibility,String(1),,2010-11 onwards,,A code indicating the basis on which the CCG of Responsibility (CCG_RESPONSIBILITY) was assigned.,"1 = Derived from GPPRAC
2 = Derived from HOMEADD
3 = Derived from postcode of SITETRET 
4 = Derived from postcode of provider
9 = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CCG_TREATMENT,"Sub Integrated Care Board of Treatment (July 2022 onwards) 
Clinical Commissioning Group of Treatment (until June 2022)
",String(5),,2010-11 onwards,,"The Sub Integrated Care Boards (Sub ICB) / Clinical Commissioning Group (CCG) area where the patient was treated. It is derived from the postcode of the site of treatment (SITETRET) firstly, but where not available the postcode of the provider (PROCODET) is used.
Note: Sub ICBs replaced CCGs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 106 existing CCGs were retained and applied to the new Sub ICBs.","3an or 5an = Sub ICB / CCG of treatment
59999 = Unknown",RULE_1205,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CCG_TREATMENT_ORIGIN,Origin of CCG_Treatment,String(1),,2010-11 onwards,,A code indicating the basis on which the CCG of treatment (CCG_TREATMENT) was assigned.,"1 = Derived from postcode of SITETRET 
2 = Derived from postcode of PROCODET
9 = Unknown",RULE_1205,,AHAS_FLAT.dbo.AHAS_HES_APC,,
CDSEXTDATE,CDS Extract Date,Date(YYYY-MM-DD),,2007-08 onwards,,"A system field that represents the date of the update event that resulted in the need to exchange the data with the Secondary Uses Service (SUS) database. This field is present on records submitted via the Bulk Update Protocol method only, and is used to apply records correctly to SUS.",YYYY-MM-DD = CDS extract date,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CDSUNIQUEID,CDS Unique Identifier,String(35),,,,"A CDS data element providing a unique identity for the life-time of a record carried in a CDS message. This field is unavailable for use, and is null in all years.

This is a system field used to apply records correctly to SUS that have been submitted via the Net Change Protocol method. It is a mandatory data item on records submitted by Net Change Protocol, and strongly recommended for use on records submitted by Bulk Update Protocol.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field",35an = CDS unique identifier,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CDSVERPROTID,CDS Protocol Identifier,String(3),,2007-08 onwards,,A system field used to apply records correctly to SUS. It represents the mechanism that was used to submit the record to SUS (bulk or net).,"010 = Net change update mechanism (this is the recommended protocol)
020 = Bulk replacement update mechanism",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CDSVERSION,CDS Version Number,String(8),,2013-14 onwards,,A system field that contains the version number of the Commissioning Data Set XML Schema used by the provider to submit the record.,"CDS006 = The 2007 CDS-XML Specification
CDS062 = The 2012 CDS XML Specification",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CENDUR,Duration of Care to Psychiatric Census Date ,Number,Y,"1989-90 to 2016-17
",,"Duration of care in days to the psychiatric census date. This field is calculated from ADMIDATE (Admission Date) and the date of the psychiatric census (31 March every year). The maximum permitted value is 29,200 days (approximately 80 years).

This field is only present on records for detained and/or long-term psychiatric census patients (where EPITYPE = 4).

","5n = Duration of stay in days at census date from 0 to 29,200  
Null = Not applicable (EPITYPE is not 4) / not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
CENSAGE,Age at Psychiatric Census Date,Number,Y,"1989-90 to 2016-17
",,"The patient's age, in completed years, on the annual psychiatric census date. This field is derived in HES from the psychiatric census date (31st March) and the date of birth (DOB)

This field is populated on psychiatric census records only (where EPITYPE = 4).

","nnn = Age on the annual psychiatric census date
120 = 120 years or more
Null = Not applicable (EPITYPE is not 4) or not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
